Series,Point,Tau / s,Gamma / Ohm
Series 1,1,0,0.0
Series 1,2,1,0.0
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,1,1.1488999973607861e-07,1.5676775567179472e-47
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,2,1.4499487122066057e-07,2.095433763999537e-39
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,3,1.8298797499483044e-07,3.818151820709626e-32
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,4,2.309367062025558e-07,9.495327553483867e-26
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,5,2.9144953828108555e-07,3.222544316770011e-20
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,6,3.678182736166491e-07,1.4924787798498517e-15
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,7,4.641984787667752e-07,9.435083679409055e-12
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,8,5.858327085661585e-07,8.14907865045355e-09
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,9,7.393397254418232e-07,9.688363807887918e-07
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,10,9.330704529020295e-07,1.6710665613660666e-05
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,11,1.1775636039601522e-06,5.646312574122026e-05
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,12,1.4861230965834693e-06,8.227616225456671e-05
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,13,1.8755329165287549e-06,8.926069157556401e-05
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,14,2.36698269873159e-06,7.744622212206613e-05
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,15,2.987208290505805e-06,5.483261081980208e-05
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,16,3.7699528547818772e-06,3.0477871438950338e-05
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,17,4.757795977639034e-06,1.2284320829336777e-05
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,18,6.004484930599574e-06,3.583499232019465e-06
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,19,7.577853011753177e-06,2.411425990118576e-06
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,20,9.563493222231045e-06,3.7640237373736024e-06
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,21,1.2069435797457118e-05,3.659713571802291e-06
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,22,1.5231998986564577e-05,1.7067474352980117e-06
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,23,1.9223271010559984e-05,3.770177457464892e-06
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,24,2.426036007818766e-05,5.519546818991257e-05
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,25,3.06173533317633e-05,0.0003089854354854842
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,26,3.8640082493657246e-05,0.0009393185829269569
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,27,4.876497041550465e-05,0.0020164951492989045
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,28,6.154295988380909e-05,0.003538935762387496
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,29,7.766910130158067e-05,0.005438220255021558
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,30,9.802090062294155e-05,0.007587148658923447
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,31,0.0001237055257661268,0.00979185586569314
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,32,0.00015612026618327945,0.011784261951903845
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,33,0.00019702866848092526,0.013247899825203427
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,34,0.0002486563753336668,0.01391365409010133
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,35,0.000313812168315053,0.013695149187660793
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,36,0.00039604102494195104,0.012755543048369723
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,37,0.0004998162039555609,0.01143993122816762
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,38,0.0006307837902568281,0.010140861747842088
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,39,0.0007960693328641355,0.0091988406875259
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,40,0.001004664576612413,0.00886310726542791
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,41,0.001267918269149959,0.009283770817071749
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,42,0.00160015351139009,0.01051280283173154
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,43,0.0020194428507238626,0.012505636010300435
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,44,0.0025486017111688852,0.0151067363288598
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,45,0.003216417273506522,0.01799308352570131
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,46,0.004059217404574156,0.020596722616867416
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,47,0.005122862756252289,0.022155921845038607
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,48,0.006465210113674402,0.022054700634807814
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,49,0.008159302175045013,0.020246025049184883
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,50,0.010297302156686783,0.017270332118229755
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,51,0.012995511293411255,0.013841190662026702
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,52,0.01640075258910656,0.010483760584269457
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,53,0.02069825306534767,0.007476414156283063
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,54,0.02612186037003994,0.004946040664880342
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,55,0.032966628670692444,0.0029507636811631627
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,56,0.041604895144701004,0.001509350080763605
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,57,0.052506715059280396,0.0006005721155842479
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,58,0.06626515835523605,0.00014644271205598708
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,59,0.08362866938114166,1.6112503619273933e-05
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,60,0.10554206371307373,1.00926187492681e-06
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,61,0.13319747149944305,9.314553421191443e-07
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,62,0.1680992990732193,2.058425571909098e-06
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,63,0.21214671432971954,4.07296563681305e-06
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,64,0.26773566007614136,6.4098626070286964e-06
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,65,0.33789101243019104,6.790385904739229e-06
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,66,0.42642930150032043,2.385862642590735e-06
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,67,0.538166880607605,1.4273876762512762e-07
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,68,0.6791839003562927,1.2059834454228816e-09
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,69,0.8571509718894958,1.3971522295397163e-12
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,70,1.081752061843872,2.2102632966107894e-16
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,71,1.3652057647705078,4.772230053428586e-21
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,72,1.7229316234588623,1.4062351743164456e-26
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,73,2.1743950843811035,5.654635267907467e-33
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,74,2.7441563606262207,3.1030505233323803e-40
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,75,3.4632115364074707,2.3216045559676406e-48
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,1,7.846788463439225e-08,1.4872778933994751e-47
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,2,9.902768738356826e-08,1.9859818720216e-39
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,3,1.2497460488702927e-07,3.6164669464572603e-32
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,4,1.5771989581025991e-07,8.988614258983396e-26
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,5,1.9904494763522962e-07,3.0495162957901565e-20
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,6,2.511978038910456e-07,1.4122361891294517e-15
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,7,3.17015860673564e-07,8.929000482953982e-12
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,8,4.000789317615272e-07,7.71481607619322e-09
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,9,5.049058131589845e-07,9.178693612934125e-07
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,10,6.371989229592145e-07,1.586468641785411e-05
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,11,8.041557748583728e-07,5.402880096817524e-05
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,12,1.0148570481760544e-06,8.020728264605878e-05
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,13,1.280765332012379e-06,8.960336216651773e-05
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,14,1.6163456848516944e-06,8.132992803552915e-05
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,15,2.039855417024228e-06,6.171718051379339e-05
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,16,2.5743293008417822e-06,3.843506721136978e-05
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,17,3.2488433134858496e-06,1.8888411659479324e-05
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,18,4.100094884051941e-06,7.08590149109479e-06
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,19,5.174383204575861e-06,2.3784954799061164e-06
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,20,6.530151949846186e-06,8.904010728066071e-07
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,21,8.241152499977034e-06,1.8318577962928544e-06
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,22,1.0400462088000495e-05,2.4624342263618377e-05
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,23,1.3125559235049877e-05,0.00014424096361977118
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,24,1.6564657926210202e-05,0.0004579704040917012
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,25,2.0904879420413636e-05,0.0010015006831188753
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,26,2.6382280339021236e-05,0.0017591027474110246
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,27,3.3294847526121885e-05,0.002671631081933406
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,28,4.20186115661636e-05,0.0036473320704047806
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,29,5.302813951857388e-05,0.004567727540356132
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,30,6.692233000649139e-05,0.005296698975210467
