Series,Point,Re(Z) / Ohm,-Im(Z) / Ohm
Series 1,1,0,0.0
Series 1,2,1,0.0
Series 2,1,0.0,0
Series 2,2,0.0,1
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,1,0.024413878098130226,-0.0053003341890871525
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,2,0.024402931332588196,-0.002008978743106127
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,3,0.024815864861011505,0.0007840191829018295
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,4,0.025558071210980415,0.0034115398302674294
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,5,0.02681560441851616,0.005887423176318407
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,6,0.028704553842544556,0.008349351584911346
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,7,0.031253401190042496,0.010881839320063591
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,8,0.03442757949233055,0.013284707441926003
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,9,0.03871268033981323,0.015409301966428757
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,10,0.04328185319900513,0.016561534255743027
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,11,0.047869861125946045,0.01713099703192711
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,12,0.05240979790687561,0.017541125416755676
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,13,0.05612100660800934,0.017848525196313858
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,14,0.060289401561021805,0.01895381137728691
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,15,0.06497831642627716,0.021003738045692444
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,16,0.07090602815151215,0.02241530269384384
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,17,0.07838726043701172,0.022791557013988495
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,18,0.08522123843431473,0.02088608406484127
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,19,0.09150850027799606,0.018081754446029663
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,20,0.09570253640413284,0.014679394662380219
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,21,0.09852911531925201,0.01136141736060381
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 10,22,0.09925432503223419,0.008937882259488106
Series 4,1,-0.022845957428216934,-0.08286651968955994
Series 4,2,0.005296936258673668,-0.061377398669719696
Series 4,3,0.01755516603589058,-0.04273860901594162
Series 4,4,0.022437043488025665,-0.02944752387702465
Series 4,5,0.02414732426404953,-0.020007986575365067
Series 4,6,0.02479548379778862,-0.013732632622122765
Series 4,7,0.024530110880732536,-0.009014800190925598
Series 4,8,0.1003015786409378,0.00789669994264841
Series 4,9,0.10031737387180328,0.0070240190252661705
Series 4,10,0.10255274176597595,0.009164365008473396
Series 4,11,0.10499511659145355,0.009850636124610901
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,1,0.025223296135663986,-0.008874954655766487
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,2,0.0251629538834095,-0.005167905241250992
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,3,0.025435935705900192,-0.002216279273852706
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,4,0.026030298322439194,0.00011618022108450532
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,5,0.02704036980867386,0.0019349107751622796
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,6,0.028213271871209145,0.0033910577185451984
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,7,0.029664156958460808,0.0044953422620892525
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,8,0.031116964295506477,0.005167955532670021
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,9,0.032599713653326035,0.005587331019341946
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,10,0.034079648554325104,0.005887866020202637
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,11,0.03538171947002411,0.006237380672246218
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,12,0.036566928029060364,0.006924414541572332
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,13,0.037557099014520645,0.008211495354771614
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,14,0.039146117866039276,0.010143127292394638
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,15,0.041303593665361404,0.012655547820031643
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,16,0.04496774822473526,0.01571972481906414
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,17,0.05037657916545868,0.018422601744532585
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,18,0.05693160742521286,0.019397392868995667
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,19,0.06369240581989288,0.018300792202353477
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,20,0.06877242773771286,0.01485007256269455
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,21,0.07240812480449677,0.011640703305602074
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,22,0.07441703975200653,0.008639275096356869
Series 6,1,-0.025046158581972122,-0.08203470706939697
Series 6,2,0.005737675819545984,-0.06100081279873848
Series 6,3,0.017887543886899948,-0.04262832552194595
Series 6,4,0.022697271779179573,-0.02920508198440075
Series 6,5,0.02466946467757225,-0.01984456181526184
Series 6,6,0.025378335267305374,-0.013556067831814289
Series 6,7,0.07589775323867798,0.006560185458511114
Series 6,8,0.07788452506065369,0.004104772582650185
Series 6,9,0.07695621997117996,0.002115716226398945
Series 6,10,0.17958396673202515,0.009466566145420074
Series 6,11,0.09869976341724396,-0.03312602639198303
