dataset_number,proposed_filename,section,source_relative_path,source_extension,technique,content_label
1,VZ2_062_021_UK_D_0001_v2.mpt,conventional_PEIS,"conventional_PEIS__1,46V_OCV180s_open_cell_CA.mpt",.mpt,CA,Electrochemical data from technique CA in conventional PEIS approach for PEM-WE in open cathode configuration with OCV time gap 180 s.
2,VZ2_062_021_UK_D_0002_v2.mpt,conventional_PEIS,"conventional_PEIS__1,46V_OCV180s_open_cell_OCV.mpt",.mpt,OCV,Electrochemical data from technique OCV in conventional PEIS approach for PEM-WE in open cathode configuration with OCV time gap 180 s.
3,VZ2_062_021_UK_D_0003_v2.mpt,conventional_PEIS,"conventional_PEIS__1,46V_OCV180s_open_cell_PEIS.mpt",.mpt,PEIS,Electrochemical data from technique PEIS in conventional PEIS approach for PEM-WE in open cathode configuration with OCV time gap 180 s.
4,VZ2_062_021_UK_D_0004_v2.csv,TRPEIS_open_cell,"TRPEIS__1,46V_OCV180s_open_cell_CA.csv",.csv,CA,Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in open cathode configuration with OCV time gap 180 s.
5,VZ2_062_021_UK_D_0005_v2.csv,TRPEIS_open_cell,"TRPEIS__1,46V_OCV180s_open_cell_OCV.csv",.csv,OCV,Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in open cathode configuration with OCV time gap 180 s.
6,VZ2_062_021_UK_D_0006_v2.csv,TRPEIS_open_cell,"TRPEIS__1,46V_OCV180s_open_cell_PEIS.csv",.csv,PEIS,Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in open cathode configuration with OCV time gap 180 s.
7,VZ2_062_021_UK_D_0007_v2.csv,TRPEIS_N2,"TRPEIS__1,46V_OCV180s_N2_3_CA.csv",.csv,CA,Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in N2 flow with OCV time gap 180 s.
8,VZ2_062_021_UK_D_0008_v2.csv,TRPEIS_N2,"TRPEIS__1,46V_OCV180s_N2_3_OCV.csv",.csv,OCV,Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in N2 flow with OCV time gap 180 s.
9,VZ2_062_021_UK_D_0009_v2.csv,TRPEIS_N2,"TRPEIS__1,46V_OCV180s_N2_3_PEIS.csv",.csv,PEIS,Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in N2 flow with OCV time gap 180 s.
10,VZ2_062_021_UK_D_0010_v2.csv,TRPEIS_H2,"TRPEIS__1,46V_OCV180s_H2_CA.csv",.csv,CA,Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in H2 flow with OCV time gap 180 s.
11,VZ2_062_021_UK_D_0011_v2.csv,TRPEIS_H2,"TRPEIS__1,46V_OCV180s_H2_OCV.csv",.csv,OCV,Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in H2 flow with OCV time gap 180 s.
12,VZ2_062_021_UK_D_0012_v2.csv,TRPEIS_H2,"TRPEIS__1,46V_OCV180s_H2_PEIS.csv",.csv,PEIS,Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in H2 flow with OCV time gap 180 s.
13,VZ2_062_021_UK_D_0013_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_01_Loopeis 1,46V_30s_1_initial_loops_01_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, initial loops."
14,VZ2_062_021_UK_D_0014_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_01_Loopeis 1,46V_30s_1_initial_loops_02_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, initial loops."
15,VZ2_062_021_UK_D_0015_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_02_Loopeis 1,46V_30s_2_PEIS from 65kHz to 10kHz_01_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 65kHz and 10kHz."
16,VZ2_062_021_UK_D_0016_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_02_Loopeis 1,46V_30s_2_PEIS from 65kHz to 10kHz_02_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 65kHz and 10kHz."
17,VZ2_062_021_UK_D_0017_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_02_Loopeis 1,46V_30s_2_PEIS from 65kHz to 10kHz_03_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 65kHz and 10kHz."
18,VZ2_062_021_UK_D_0018_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_02_Loopeis 1,46V_30s_2_PEIS from 65kHz to 10kHz_04_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 65kHz and 10kHz."
19,VZ2_062_021_UK_D_0019_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_02_Loopeis 1,46V_30s_2_PEIS from 65kHz to 10kHz_05_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 65kHz and 10kHz."
